csafp,csa_name,CSA_Pop,city_name,city_pop,lat,long
101,"Abilene-Sweetwater, TX",195897,"Abilene, Texas",130093,32.55035195,-99.71473729783544
104,"Albany-Schenectady, NY",1192181,"Schenectady, New York",68545,NA,NA
105,"Albuquerque-Santa Fe-Los Alamos, NM",1168363,"Santa Fe, New Mexico",89157,NA,NA
106,"Allentown-Bethlehem-East Stroudsburg, PA-NJ",1039608,"Bethlehem, Pennsylvania",77841,NA,NA
107,"Altoona-Huntingdon, PA",163787,NA,NA,NA,NA
108,"Amarillo-Borger, TX",292428,"Amarillo, Texas",203042,35.2098463,-101.84213563130253
118,"Appleton-Oshkosh-Neenah, WI",418168,"Appleton, Wisconsin",75861,NA,NA
120,"Asheville-Waynesville-Brevard, NC",513720,"Asheville, North Carolina",95053,NA,NA
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",7221137,"Roswell, Georgia",91708,NA,NA
132,"Baton Rouge-Hammond, LA",1011725,"Baton Rouge, Louisiana",219563,NA,NA
142,"Birmingham-Cullman-Talladega, AL",1367706,NA,NA,NA,NA
144,"Bloomington-Bedford, IN",205958,"Bloomington, Indiana",74028,NA,NA
145,"Bloomington-Pontiac, IL",205761,"Bloomington, Illinois",78591,NA,NA
146,"Bloomsburg-Berwick-Sunbury, PA",255178,NA,NA,NA,NA
147,"Boise City-Mountain Home-Ontario, ID-OR",913704,"Caldwell, Idaho",68339,NA,NA
148,"Boston-Worcester-Providence, MA-RI-NH",8345067,"Fall River, Massachusetts",93864,NA,NA
150,"Bowling Green-Glasgow-Franklin, KY",264525,"Bowling Green, Kentucky",76215,NA,NA
152,"Brookings-Crescent City, OR-CA",49885,NA,NA,NA,NA
154,"Brownsville-Harlingen-Raymondville, TX",446747,"Harlingen, Texas",71512,NA,NA
160,"Buffalo-Cheektowaga-Olean, NY",1231204,"Cheektowaga CDP, New York",75443,NA,NA
161,"Burlington-Fort Madison, IA-IL",76906,NA,NA,NA,NA
162,"Burlington-South Burlington-Barre, VT",288084,NA,NA,NA,NA
163,"Cape Coral-Fort Myers-Naples, FL",1295002,"Fort Myers, Florida",97369,26.6856431,-81.90979952828879
164,"Cape Girardeau-Sikeston, MO-IL",147934,NA,NA,NA,NA
166,"Carbondale-Marion-Herrin, IL",118847,NA,NA,NA,NA
168,"Cedar Rapids-Iowa City, IA",455756,"Iowa City, Iowa",75671,41.6612561,-91.5299106
169,"Champaign-Urbana-Danville, IL",307260,"Champaign, Illinois",89191,NA,NA
170,"Charleston-Huntington-Ashland, WV-OH-KY",643394,NA,NA,NA,NA
172,"Charlotte-Concord, NC-SC",3387115,"Charlotte, North Carolina",911307,NA,NA
174,"Chattanooga-Cleveland-Dalton, TN-GA-AL",1003363,"Chattanooga, Tennessee",187023,NA,NA
176,"Chicago-Naperville, IL-IN-WI",9794558,"Kenosha, Wisconsin",98210,NA,NA
178,"Cincinnati-Wilmington, OH-KY-IN",2313417,"Cincinnati, Ohio",311112,NA,NA
184,"Cleveland-Akron-Canton, OH",3732803,"Parma, Ohio",78952,NA,NA
190,"Columbia-Jefferson City-Moberly, MO",415747,"Columbia, Missouri",129328,NA,NA
192,"Columbia-Sumter-Orangeburg, SC",1084112,"Columbia, South Carolina",142083,NA,NA
194,"Columbus-Auburn-Opelika, GA-AL",566030,NA,NA,NA,NA
198,"Columbus-Marion-Zanesville, OH",2646917,"Columbus, Ohio",909074,39.3884046,-82.1782025
204,"Corpus Christi-Kingsville-Alice, TX",523902,"Corpus Christi, Texas",316603,NA,NA
206,"Dallas-Fort Worth, TX-OK",8654750,"Fort Worth, Texas",976932,NA,NA
209,"Davenport-Moline, IA-IL",467817,"Davenport, Iowa",100361,NA,NA
212,"Dayton-Springfield-Kettering, OH",1086998,"Dayton, Ohio",135507,NA,NA
216,"Denver-Aurora-Greeley, CO",3691404,NA,NA,NA,NA
218,"Des Moines-West Des Moines-Ames, IA",917964,"Ankeny, Iowa",74455,NA,NA
220,"Detroit-Warren-Ann Arbor, MI",5361927,"Livonia, Michigan",92184,NA,NA
221,"Dixon-Sterling, IL",88152,NA,NA,NA,NA
222,"Dothan-Enterprise-Ozark, AL",258863,NA,NA,NA,NA
228,"Duluth-Grand Rapids, MN-WI",326968,"Duluth, Minnesota",87693,46.7689558,-92.08903495448732
232,"Eau Claire-Menomonie, WI",220667,"Eau Claire, Wisconsin",70469,44.811349,-91.4984941
233,"Edwards-Rifle, CO",133728,NA,NA,NA,NA
236,"Elmira-Corning, NY",173487,NA,NA,NA,NA
238,"El Paso-Las Cruces, TX-NM",1098541,"El Paso, Texas",678945,25.2018639,55.15299984020217
240,"Erie-Meadville, PA",349572,"Erie, Pennsylvania",92953,NA,NA
241,"Evansville-Henderson, IN-KY",327562,"Evansville, Indiana",113291,NA,NA
242,"Fairmont-Clarksburg, WV",144514,NA,NA,NA,NA
244,"Fargo-Wahpeton, ND-MN",285484,"Fargo, North Dakota",132400,NA,NA
246,"Fayetteville-Lumberton-Pinehurst, NC",693299,"Fayetteville, North Carolina",209751,NA,NA
248,"Findlay-Tiffin, OH",129231,NA,NA,NA,NA
250,"Florence-Muscle Shoals-Russellville, AL",186977,NA,NA,NA,NA
258,"Fort Wayne-Huntington-Auburn, IN",657456,"Fort Wayne, Indiana",271629,NA,NA
260,"Fresno-Hanford-Corcoran, CA",1332702,NA,NA,NA,NA
264,"Gainesville-Lake City, FL",425189,"Gainesville, Florida",145800,NA,NA
266,"Grand Rapids-Wyoming, MI",1502552,"Wyoming, Michigan",77452,NA,NA
267,"Green Bay-Shawano, WI",377217,"Green Bay, Wisconsin",105734,NA,NA
268,"Greensboro--Winston-Salem--High Point, NC",1736099,"Greensboro, North Carolina",302307,NA,NA
273,"Greenville-Spartanburg-Anderson, SC",1590636,"Greenville, South Carolina",72822,NA,NA
274,"Greenville-Washington, NC",219600,"Greenville, North Carolina",90059,NA,NA
276,"Harrisburg-York-Lebanon, PA",1321695,NA,NA,NA,NA
277,"Harrisonburg-Staunton-Stuarts Draft, VA",264994,NA,NA,NA,NA
279,"Hattiesburg-Laurel, MS",238003,NA,NA,NA,NA
284,"Hot Springs-Malvern, AR",133042,NA,NA,NA,NA
288,"Houston-Pasadena, TX",7706626,"Baytown, Texas",85651,NA,NA
290,"Huntsville-Decatur-Albertville, AL-TN",895383,NA,NA,NA,NA
292,"Idaho Falls-Rexburg-Blackfoot, ID",287460,"Idaho Falls, Idaho",67996,43.4887907,-112.03628
294,"Indianapolis-Carmel-Muncie, IN",2651953,"Indianapolis city (balance), Indiana",874182,NA,NA
296,"Ithaca-Cortland, NY",149310,NA,NA,NA,NA
298,"Jackson-Vicksburg-Brookhaven, MS",687257,"Jackson, Mississippi",143633,NA,NA
300,"Jacksonville-Kingsland-Palatka, FL-GA",1847313,"Jacksonville, Florida",985837,NA,NA
304,"Johnson City-Kingsport-Bristol, TN-VA",598800,"Johnson City, Tennessee",73440,NA,NA
306,"Johnstown-Somerset, PA",202865,NA,NA,NA,NA
308,"Jonesboro-Paragould, AR",183133,NA,NA,NA,NA
309,"Joplin-Miami, MO-OK-KS",235074,NA,NA,NA,NA
310,"Kalamazoo-Battle Creek-Portage, MI",456459,"Kalamazoo, Michigan",73122,NA,NA
312,"Kansas City-Overland Park-Kansas City, MO-KS",2557474,"Lawrence, Kansas",96209,38.9641789,-95.24947749910694
313,"Keene-Brattleboro, NH-VT",123669,NA,NA,NA,NA
314,"Kennewick-Richland-Walla Walla, WA",375821,"Kennewick, Washington",85155,NA,NA
315,"Knoxville-Morristown-Sevierville, TN",1207137,"Knoxville, Tennessee",198175,NA,NA
317,"La Crosse-Onalaska-Sparta, WI-MN",216389,NA,NA,NA,NA
318,"Lafayette-New Iberia-Opelousas, LA",563411,"Lafayette, Louisiana",121452,NA,NA
320,"Lafayette-West Lafayette-Frankfort, IN",284211,"Lafayette, Indiana",67406,NA,NA
324,"Lake Charles-DeRidder, LA",276909,"Lake Charles, Louisiana",79647,NA,NA
330,"Lansing-East Lansing-Owosso, MI",541202,"Lansing, Michigan",111269,NA,NA
332,"Las Vegas-Henderson, NV",2392293,"Las Vegas, Nevada",660942,36.1751733,-115.02022115
334,"Lawton-Duncan, OK",171015,"Lawton, Oklahoma",90226,NA,NA
336,"Lexington-Fayette--Richmond--Frankfort, KY",770951,"Lexington-Fayette urban county, Kentucky",320154,NA,NA
338,"Lima-Van Wert-Celina, OH",218031,NA,NA,NA,NA
339,"Lincoln-Beatrice, NE",366021,"Lincoln, Nebraska",294750,40.79399635,-96.68035889405414
340,"Little Rock-North Little Rock, AR",913536,NA,NA,NA,NA
348,"Los Angeles-Long Beach, CA",18316743,NA,NA,NA,NA
350,"Louisville/Jefferson County--Elizabethtown, KY-IN",1493133,NA,NA,NA,NA
352,"Lubbock-Plainview, TX",396955,"Lubbock, Texas",266878,NA,NA
356,"Macon-Bibb County--Warner Robins, GA",436853,"Warner Robins, Georgia",84151,NA,NA
357,"Madison-Janesville-Beloit, WI",924543,"Janesville, Wisconsin",66113,NA,NA
359,"Mankato-New Ulm, MN",129876,NA,NA,NA,NA
360,"Mansfield-Ashland-Bucyrus, OH",218783,NA,NA,NA,NA
361,"Marinette-Iron Mountain, WI-MI",95715,NA,NA,NA,NA
365,"McAllen-Edinburg, TX",964405,"Mission, Texas",87288,29.93494545,-95.74034689574748
366,"Medford-Grants Pass, OR",308589,"Medford, Oregon",85100,NA,NA
368,"Memphis-Clarksdale-Forrest City, TN-MS-AR",1377852,"Memphis, Tennessee",618655,NA,NA
370,"Miami-Port St. Lucie-Fort Lauderdale, FL",7011936,"Boca Raton, Florida",99973,NA,NA
371,"Middlesborough-Corbin, KY",172880,NA,NA,NA,NA
372,"Midland-Odessa-Andrews, TX",365482,"Midland, Texas",138362,NA,NA
376,"Milwaukee-Racine-Waukesha, WI",2036833,"Racine, Wisconsin",76608,NA,NA
378,"Minneapolis-St. Paul, MN-WI",4104786,"Bloomington, Minnesota",87378,NA,NA
380,"Mobile-Daphne-Fairhope, AL",665147,NA,NA,NA,NA
384,"Monroe-Ruston, LA",269847,NA,NA,NA,NA
388,"Montgomery-Selma, AL",421645,NA,NA,NA,NA
393,"Moses Lake-Othello, WA",123498,NA,NA,NA,NA
394,"Mount Pleasant-Alma, MI",105486,NA,NA,NA,NA
396,"Myrtle Beach-Conway, SC",463209,NA,NA,NA,NA
400,"Nashville-Davidson--Murfreesboro, TN",2350738,"Franklin, Tennessee",88558,NA,NA
404,"New Bern-Morehead City, NC",193830,NA,NA,NA,NA
405,"New Haven-Hartford-Waterbury, CT",2665618,NA,NA,NA,NA
406,"New Orleans-Metairie-Slidell, LA-MS",1340591,"Kenner, Louisiana",63339,NA,NA
408,"New York-Newark, NY-NJ-CT-PA",21859598,"Toms River CDP, New Jersey",95515,NA,NA
412,"North Port-Bradenton, FL",1152221,"North Port, Florida",88931,NA,NA
416,"Oklahoma City-Shawnee, OK",1551717,"Edmond, Oklahoma",98113,NA,NA
420,"Omaha-Fremont, NE-IA",1021156,"Omaha, Nebraska",483362,NA,NA
422,"Orlando-Lakeland-Deltona, FL",4509624,"Deltona, Florida",98749,NA,NA
424,"Paducah-Mayfield, KY-IL",138728,NA,NA,NA,NA
425,"Parkersburg-Marietta-Vienna, WV-OH",146629,NA,NA,NA,NA
427,"Peoria-Canton, IL",394781,"Peoria, Illinois",113442,NA,NA
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",7390919,"Reading, Pennsylvania",94897,NA,NA
429,"Phoenix-Mesa, AZ",5124113,NA,NA,NA,NA
430,"Pittsburgh-Weirton-Steubenville, PA-OH-WV",2727866,"Pittsburgh, Pennsylvania",303254,40.5267213,-80.06242565762415
438,"Portland-Lewiston-South Portland, ME",680094,"Portland, Maine",69104,NA,NA
440,"Portland-Vancouver-Salem, OR-WA",3286669,"Beaverton, Oregon",96946,45.4879976,-122.8090772075562
444,"Pueblo-Cañon City, CO",219740,NA,NA,NA,NA
446,"Pullman-Moscow, WA-ID",89313,NA,NA,NA,NA
448,"Quincy-Hannibal, IL-MO",113084,NA,NA,NA,NA
450,"Raleigh-Durham-Cary, NC",2368947,"Apex, North Carolina",72213,NA,NA
452,"Rapid City-Spearfish, SD",184027,"Rapid City, South Dakota",79409,NA,NA
454,"Redding-Red Bluff, CA",245262,NA,NA,NA,NA
456,"Reno-Carson City-Gardnerville Ranchos, NV-CA",699307,"Reno, Nevada",274937,NA,NA
458,"Richmond-Connersville, IN",89489,NA,NA,NA,NA
462,"Rochester-Austin-Winona, MN",318856,"Rochester, Minnesota",122404,NA,NA
464,"Rochester-Batavia-Seneca Falls, NY",1141965,"Rochester, New York",207264,NA,NA
466,"Rockford-Freeport-Rochelle, IL",428494,"Rockford, Illinois",146219,NA,NA
468,"Rocky Mount-Wilson-Roanoke Rapids, NC",288366,NA,NA,NA,NA
472,"Sacramento-Roseville, CA",2706315,NA,NA,NA,NA
474,"Saginaw-Midland-Bay City, MI",374321,NA,NA,NA,NA
476,"St. Louis-St. Charles-Farmington, MO-IL",2900730,"O'Fallon, Missouri",94073,NA,NA
480,"Salisbury-Ocean Pines, MD",183881,NA,NA,NA,NA
482,"Salt Lake City-Provo-Orem, UT-ID",2805734,"Orem, Utah",95514,NA,NA
484,"San Antonio-New Braunfels-Kerrville, TX",2785647,"San Antonio, Texas",1495312,18.174167,-96.129722
488,"San Jose-San Francisco-Oakland, CA",9001024,NA,NA,NA,NA
496,"Savannah-Hinesville-Statesboro, GA",640193,"Savannah, Georgia",147751,NA,NA
500,"Seattle-Tacoma, WA",4993725,"Federal Way, Washington",97689,NA,NA
508,"Shreveport-Bossier City-Minden, LA",418533,"Shreveport, Louisiana",177225,NA,NA
512,"Sioux City-Le Mars, IA-NE-SD",170124,"Sioux City, Iowa",85172,NA,NA
515,"South Bend-Elkhart-Mishawaka, IN-MI",809876,"South Bend, Indiana",100715,NA,NA
517,"Spencer-Spirit Lake, IA",34567,NA,NA,NA,NA
518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",785302,"Spokane, Washington",229451,NA,NA
521,"Springfield-Amherst Town-Northampton, MA",693629,"Springfield, Massachusetts",153672,42.0955986,-72.59638416536404
522,"Springfield-Jacksonville-Lincoln, IL",303113,"Springfield, Illinois",112327,NA,NA
523,"Starkville-Columbus, MS",128388,NA,NA,NA,NA
524,"State College-DuBois, PA",234885,NA,NA,NA,NA
532,"Syracuse-Auburn, NY",727441,"Syracuse, New York",145573,NA,NA
533,"Tallahassee-Bainbridge, FL-GA",421732,"Tallahassee, Florida",202222,30.4717942,-84.28987091542595
536,"Tucson-Nogales, AZ",1112320,NA,NA,NA,NA
538,"Tulsa-Bartlesville-Muskogee, OK",1165140,"Tulsa, Oklahoma",410915,36.1626697,-95.98788734343584
539,"Tupelo-Corinth, MS",166162,NA,NA,NA,NA
540,"Tyler-Jacksonville, TX",297426,"Tyler, Texas",110325,32.34832885,-95.33072188676054
542,"Union City-Martin, TN",63495,NA,NA,NA,NA
544,"Victoria-Port Lavaca, TX",118504,"Victoria, Texas",65800,28.6751665,-96.95659311236652
545,"Virginia Beach-Chesapeake, VA-NC",1866723,"Portsmouth, Virginia",96793,NA,NA
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",10069592,"Germantown CDP, Maryland",96698,NA,NA
554,"Wausau-Stevens Point-Wisconsin Rapids, WI",283575,NA,NA,NA,NA
555,"Weatherford-Elk City, OK",61044,NA,NA,NA,NA
556,"Wichita-Arkansas City-Winfield, KS",687096,"Wichita, Kansas",396123,NA,NA
558,"Williamsport-Lock Haven, PA",150331,NA,NA,NA,NA
566,"Youngstown-Warren-Salem, OH",526151,NA,NA,NA,NA
